TransactionID,Date,CustomerID,Region,Category,Product,Quantity,UnitPrice,TotalPrice,PaymentMethod
TRX-10000,2023-09-28,CUST-206,East,Clothing,Jeans,1,58.49,58.49,Debit Card
TRX-10001,2024-09-06,CUST-221,East,Clothing,T-Shirt,1,26.4,26.4,Credit Card
TRX-10002,2024-04-03,CUST-187,North,Clothing,Jeans,3,55.87,167.61,Debit Card
TRX-10003,2024-10-25,CUST-230,North,Home,Coffee Maker,4,77.34,309.36,Debit Card
TRX-10004,2023-12-10,CUST-393,West,Electronics,Smartphone,2,723.29,1446.58,Debit Card
TRX-10005,2023-10-04,CUST-260,South,Electronics,Monitor,4,270.05,1080.2,Debit Card
TRX-10006,2023-09-10,CUST-335,East,Electronics,Smartphone,2,768.68,1537.36,Debit Card
TRX-10007,2023-02-28,CUST-269,East,Electronics,Laptop,3,1085.53,3256.59,PayPal
TRX-10008,2023-07-09,CUST-274,North,Home,Desk,4,136.4,545.6,Credit Card
TRX-10009,2024-07-20,CUST-343,North,Home,Desk,4,153.55,614.2,Credit Card
TRX-10010,2024-04-29,CUST-406,North,Clothing,Jacket,3,122.22,366.66,Debit Card
TRX-10011,2023-06-16,CUST-373,West,Electronics,Laptop,1,1243.27,1243.27,Credit Card
TRX-10012,2023-01-14,CUST-341,North,Electronics,Monitor,4,326.93,1307.72,PayPal
TRX-10013,2024-07-18,CUST-485,East,Clothing,Jacket,2,117.25,234.5,PayPal
TRX-10014,2024-03-30,CUST-363,West,Electronics,Smartphone,3,829.48,2488.44,Credit Card
TRX-10015,2023-03-22,CUST-149,East,Clothing,Jeans,2,54.41,108.82,Debit Card
TRX-10016,2024-01-25,CUST-153,South,Home,Coffee Maker,2,82.6,165.2,Debit Card
TRX-10017,2024-04-21,CUST-290,South,Electronics,Smartphone,2,807.47,1614.94,PayPal
TRX-10018,2023-06-11,CUST-301,North,Clothing,T-Shirt,4,26.71,106.84,PayPal
TRX-10019,2023-09-28,CUST-314,North,Clothing,T-Shirt,2,26.97,53.94,Credit Card
TRX-10020,2023-10-23,CUST-312,West,Clothing,Jeans,2,60.25,120.5,Credit Card
TRX-10021,2023-02-22,CUST-379,North,Clothing,T-Shirt,2,24.44,48.88,Credit Card
TRX-10022,2023-07-07,CUST-479,East,Clothing,Sneakers,4,87.42,349.68,Debit Card
TRX-10023,2023-01-15,CUST-400,East,Electronics,Monitor,1,286.56,286.56,PayPal
TRX-10024,2024-06-04,CUST-443,West,Home,Blender,3,41.17,123.51,Credit Card
TRX-10025,2024-04-16,CUST-162,North,Clothing,T-Shirt,4,24.47,97.88,Credit Card
TRX-10026,2024-01-27,CUST-262,West,Clothing,T-Shirt,1,26.58,26.58,PayPal
TRX-10027,2024-05-04,CUST-330,South,Clothing,Jeans,3,63.48,190.44,Credit Card
TRX-10028,2023-05-15,CUST-300,East,Electronics,Headphones,4,154.53,618.12,Debit Card
TRX-10029,2023-02-02,CUST-147,West,Home,Blender,2,46.11,92.22,Debit Card
TRX-10030,2024-12-28,CUST-392,West,Home,Coffee Maker,2,77.93,155.86,PayPal
TRX-10031,2024-12-26,CUST-134,South,Clothing,T-Shirt,4,26.15,104.6,Credit Card
TRX-10032,2024-04-06,CUST-230,West,Clothing,T-Shirt,1,24.86,24.86,PayPal
TRX-10033,2024-05-17,CUST-354,West,Clothing,Sneakers,2,94.69,189.38,Credit Card
TRX-10034,2024-01-28,CUST-306,East,Clothing,Sneakers,3,85.61,256.83,Credit Card
TRX-10035,2024-04-05,CUST-278,West,Clothing,T-Shirt,2,24.64,49.28,Debit Card
TRX-10036,2023-08-29,CUST-151,South,Home,Desk,3,135.94,407.82,Credit Card
TRX-10037,2024-04-29,CUST-330,South,Electronics,Headphones,4,151.9,607.6,PayPal
TRX-10038,2024-06-24,CUST-135,South,Home,Chair,3,98.21,294.63,Credit Card
TRX-10039,2024-11-29,CUST-342,East,Clothing,Jacket,3,130.63,391.89,Debit Card
TRX-10040,2024-11-12,CUST-144,North,Electronics,Laptop,2,1118.69,2237.38,Credit Card
TRX-10041,2024-10-07,CUST-383,South,Home,Blender,1,43.16,43.16,PayPal
TRX-10042,2023-12-06,CUST-385,East,Home,Blender,4,47.73,190.92,PayPal
TRX-10043,2024-05-20,CUST-447,West,Clothing,Sneakers,4,96.9,387.6,PayPal
TRX-10044,2023-08-13,CUST-484,East,Clothing,T-Shirt,2,24.28,48.56,PayPal
TRX-10045,2024-09-24,CUST-215,North,Home,Blender,2,42.55,85.1,PayPal
TRX-10046,2023-12-25,CUST-297,South,Home,Coffee Maker,3,77.64,232.92,Credit Card
TRX-10047,2023-11-14,CUST-264,West,Home,Coffee Maker,1,80.17,80.17,Credit Card
TRX-10048,2024-11-14,CUST-251,North,Electronics,Headphones,2,155.77,311.54,Debit Card
TRX-10049,2024-11-02,CUST-195,West,Electronics,Monitor,2,326.57,653.14,Debit Card
TRX-10050,2023-04-23,CUST-417,West,Clothing,Jacket,4,121.39,485.56,PayPal
TRX-10051,2023-09-25,CUST-394,East,Clothing,T-Shirt,4,27.36,109.44,Debit Card
TRX-10052,2024-09-04,CUST-212,North,Home,Desk,1,149.92,149.92,PayPal
TRX-10053,2023-04-23,CUST-101,West,Clothing,T-Shirt,3,27.49,82.47,PayPal
TRX-10054,2023-08-13,CUST-484,West,Home,Blender,2,45.02,90.04,Debit Card
TRX-10055,2023-02-22,CUST-271,South,Electronics,Laptop,2,1137.49,2274.98,Debit Card
TRX-10056,2024-02-20,CUST-346,North,Clothing,T-Shirt,2,24.74,49.48,Debit Card
TRX-10057,2023-07-03,CUST-222,West,Clothing,Sneakers,3,93.1,279.3,Credit Card
TRX-10058,2023-10-07,CUST-424,North,Electronics,Headphones,2,142.26,284.52,PayPal
TRX-10059,2024-05-25,CUST-339,East,Electronics,Smartphone,2,821.17,1642.34,Debit Card
TRX-10060,2023-05-04,CUST-286,North,Home,Chair,1,105.97,105.97,Credit Card
TRX-10061,2024-10-21,CUST-351,West,Clothing,Jacket,1,112.48,112.48,PayPal
TRX-10062,2023-12-12,CUST-246,North,Home,Desk,3,155.33,465.99,PayPal
TRX-10063,2024-05-03,CUST-227,East,Home,Coffee Maker,3,77.58,232.74,Credit Card
TRX-10064,2024-10-02,CUST-366,West,Home,Blender,4,45.16,180.64,Debit Card
TRX-10065,2023-05-31,CUST-397,North,Electronics,Laptop,1,1161.86,1161.86,Credit Card
TRX-10066,2023-05-24,CUST-445,West,Home,Blender,4,42.82,171.28,PayPal
TRX-10067,2024-07-25,CUST-468,East,Home,Chair,4,109.64,438.56,PayPal
TRX-10068,2023-09-11,CUST-239,East,Home,Blender,4,42.68,170.72,Credit Card
TRX-10069,2023-01-09,CUST-332,West,Electronics,Laptop,4,1213.99,4855.96,PayPal
TRX-10070,2023-07-27,CUST-230,East,Clothing,Sneakers,4,87.29,349.16,PayPal
TRX-10071,2023-04-30,CUST-260,South,Home,Desk,2,160.69,321.38,PayPal
TRX-10072,2024-09-16,CUST-203,North,Clothing,Sneakers,3,92.56,277.68,Debit Card
TRX-10073,2023-04-22,CUST-198,North,Electronics,Headphones,3,153.19,459.57,Credit Card
