SessionID,Date,Source,Device,IsBounce,ViewedProduct,AddToCart,Purchase,SessionDurationSec
SES-10000,2023-08-29,Direct,Tablet,Yes,No,No,No,8
SES-10001,2023-02-26,Paid Search,Desktop,No,Yes,No,No,416
SES-10002,2023-09-26,Direct,Tablet,No,Yes,No,No,454
SES-10003,2023-10-17,Referral,Desktop,No,Yes,Yes,No,467
SES-10004,2023-09-25,Direct,Mobile,No,Yes,Yes,Yes,569
SES-10005,2023-02-12,Paid Search,Desktop,No,Yes,Yes,No,70
SES-10006,2023-03-24,Organic Search,Mobile,Yes,No,No,No,5
SES-10007,2023-07-05,Paid Search,Desktop,Yes,No,No,No,9
SES-10008,2023-06-28,Referral,Mobile,No,Yes,Yes,Yes,13
SES-10009,2023-01-29,Paid Search,Desktop,No,Yes,Yes,Yes,454
SES-10010,2023-07-06,Paid Search,Tablet,Yes,No,No,No,5
SES-10011,2023-12-22,Referral,Mobile,Yes,No,No,No,0
SES-10012,2023-08-03,Referral,Mobile,No,Yes,No,No,53
SES-10013,2023-10-25,Organic Search,Desktop,Yes,No,No,No,8
SES-10014,2023-03-29,Paid Search,Tablet,No,Yes,Yes,No,548
SES-10015,2023-09-20,Organic Search,Desktop,No,Yes,Yes,No,473
SES-10016,2023-04-22,Direct,Desktop,No,Yes,Yes,Yes,335
SES-10017,2023-11-26,Organic Search,Mobile,Yes,No,No,No,6
SES-10018,2023-02-10,Organic Search,Desktop,No,Yes,Yes,No,431
SES-10019,2023-07-16,Paid Search,Tablet,Yes,No,No,No,7
SES-10020,2023-01-10,Social,Mobile,No,Yes,No,No,225
SES-10021,2023-09-18,Direct,Tablet,Yes,No,No,No,5
SES-10022,2023-04-14,Organic Search,Mobile,Yes,No,No,No,0
SES-10023,2023-09-03,Social,Tablet,No,Yes,No,No,313
SES-10024,2023-02-21,Direct,Tablet,No,Yes,No,No,218
SES-10025,2023-08-31,Direct,Desktop,No,Yes,No,No,12
SES-10026,2023-01-05,Direct,Desktop,No,Yes,Yes,No,269
SES-10027,2023-07-31,Organic Search,Desktop,No,Yes,No,No,373
SES-10028,2023-12-13,Organic Search,Mobile,No,Yes,No,No,421
SES-10029,2023-01-03,Referral,Tablet,No,Yes,Yes,No,563
SES-10030,2023-08-09,Direct,Tablet,No,Yes,No,No,417
SES-10031,2023-08-09,Social,Tablet,No,Yes,No,No,262
SES-10032,2023-06-02,Organic Search,Desktop,Yes,No,No,No,7
SES-10033,2023-09-15,Referral,Desktop,Yes,No,No,No,5
SES-10034,2023-06-22,Direct,Tablet,No,Yes,No,No,231
SES-10035,2023-03-10,Organic Search,Mobile,No,Yes,No,No,217
SES-10036,2023-02-22,Paid Search,Mobile,Yes,No,No,No,5
SES-10037,2023-05-19,Referral,Mobile,Yes,No,No,No,1
SES-10038,2023-05-18,Paid Search,Desktop,No,Yes,No,No,547
SES-10039,2023-10-20,Paid Search,Desktop,Yes,No,No,No,5
SES-10040,2023-01-14,Organic Search,Mobile,Yes,No,No,No,8
SES-10041,2023-11-18,Referral,Desktop,No,Yes,No,No,44
SES-10042,2023-08-23,Social,Mobile,Yes,No,No,No,3
SES-10043,2023-05-24,Social,Tablet,No,Yes,No,No,233
SES-10044,2023-04-01,Social,Tablet,No,Yes,No,No,201
SES-10045,2023-10-01,Referral,Tablet,No,Yes,Yes,No,376
SES-10046,2023-03-21,Organic Search,Desktop,No,Yes,No,No,576
SES-10047,2023-02-02,Organic Search,Tablet,No,Yes,No,No,421
SES-10048,2023-05-06,Referral,Desktop,Yes,No,No,No,4
SES-10049,2023-10-24,Direct,Tablet,No,Yes,No,No,283
SES-10050,2023-02-02,Organic Search,Tablet,No,Yes,No,No,528
SES-10051,2023-06-09,Paid Search,Tablet,No,Yes,No,No,95
SES-10052,2023-07-16,Organic Search,Tablet,No,Yes,Yes,No,451
SES-10053,2023-05-26,Paid Search,Tablet,No,Yes,Yes,No,485
SES-10054,2023-03-02,Social,Tablet,Yes,No,No,No,9
SES-10055,2023-08-04,Direct,Tablet,Yes,No,No,No,7
SES-10056,2023-12-18,Referral,Tablet,No,Yes,No,No,139
SES-10057,2023-03-24,Social,Desktop,No,Yes,Yes,No,81
SES-10058,2023-09-16,Direct,Desktop,Yes,No,No,No,5
SES-10059,2023-04-10,Organic Search,Desktop,Yes,No,No,No,2
SES-10060,2023-07-11,Paid Search,Desktop,Yes,No,No,No,1
SES-10061,2023-03-31,Direct,Mobile,Yes,No,No,No,7
SES-10062,2023-09-25,Paid Search,Tablet,No,Yes,No,No,199
SES-10063,2023-02-19,Direct,Tablet,No,Yes,No,No,466
SES-10064,2023-05-07,Referral,Mobile,Yes,No,No,No,8
SES-10065,2023-07-23,Organic Search,Desktop,No,Yes,No,No,115
SES-10066,2023-05-09,Direct,Tablet,No,Yes,No,No,338
SES-10067,2023-01-11,Paid Search,Mobile,Yes,No,No,No,7
SES-10068,2023-01-26,Paid Search,Mobile,Yes,No,No,No,5
SES-10069,2023-03-10,Organic Search,Desktop,Yes,No,No,No,2
SES-10070,2023-08-31,Referral,Mobile,Yes,No,No,No,9
SES-10071,2023-03-02,Referral,Mobile,Yes,No,No,No,0
SES-10072,2023-01-30,Paid Search,Desktop,Yes,No,No,No,0
SES-10073,2023-08-22,Paid Search,Tablet,No,Yes,No,No,174
SES-10074,2023-11-14,Paid Search,Tablet,Yes,No,No,No,0
SES-10075,2023-12-24,Paid Search,Mobile,No,Yes,No,No,306
SES-10076,2023-04-16,Organic Search,Tablet,Yes,No,No,No,0
SES-10077,2023-06-02,Direct,Tablet,No,Yes,No,No,442
SES-10078,2023-03-14,Direct,Desktop,Yes,No,No,No,3
SES-10079,2023-08-25,Direct,Tablet,Yes,No,No,No,0
SES-10080,2023-01-23,Paid Search,Desktop,No,Yes,No,No,509
SES-10081,2023-09-05,Organic Search,Desktop,No,Yes,No,No,282
SES-10082,2023-05-13,Referral,Tablet,No,Yes,No,No,349
SES-10083,2023-01-17,Referral,Mobile,Yes,No,No,No,6
SES-10084,2023-04-28,Paid Search,Mobile,Yes,No,No,No,2
SES-10085,2023-04-26,Social,Mobile,Yes,No,No,No,1
SES-10086,2023-03-29,Organic Search,Desktop,Yes,No,No,No,6
SES-10087,2023-11-16,Direct,Desktop,Yes,No,No,No,7
SES-10088,2023-06-30,Direct,Desktop,Yes,No,No,No,1
SES-10089,2023-05-29,Direct,Desktop,Yes,No,No,No,0
SES-10090,2023-04-21,Social,Mobile,Yes,No,No,No,8
SES-10091,2023-12-21,Organic Search,Mobile,Yes,No,No,No,1
SES-10092,2023-03-25,Social,Desktop,Yes,No,No,No,0
SES-10093,2023-01-24,Direct,Mobile,Yes,No,No,No,2
SES-10094,2023-08-10,Organic Search,Tablet,No,Yes,Yes,No,593
SES-10095,2023-03-09,Referral,Mobile,Yes,No,No,No,0
SES-10096,2023-04-02,Organic Search,Desktop,No,Yes,No,No,107
SES-10097,2023-02-15,Referral,Tablet,No,Yes,No,No,324
SES-10098,2023-01-08,Organic Search,Mobile,No,Yes,No,No,594
SES-10099,2023-08-28,Referral,Desktop,No,Yes,Yes,Yes,394
SES-10100,2023-12-09,Direct,Mobile,No,Yes,Yes,No,274
SES-10101,2023-05-29,Paid Search,Desktop,No,Yes,No,No,424
SES-10102,2023-10-07,Direct,Tablet,No,Yes,Yes,Yes,506
SES-10103,2023-11-26,Organic Search,Mobile,Yes,No,No,No,5
SES-10104,2023-11-18,Organic Search,Mobile,Yes,No,No,No,2
SES-10105,2023-02-06,Social,Desktop,No,Yes,Yes,No,491
SES-10106,2023-08-06,Direct,Tablet,No,Yes,Yes,No,410
SES-10107,2023-07-28,Paid Search,Desktop,No,Yes,Yes,Yes,340
SES-10108,2023-04-04,Direct,Tablet,Yes,No,No,No,5
SES-10109,2023-08-16,Social,Mobile,No,Yes,No,No,394
SES-10110,2023-10-09,Direct,Tablet,Yes,No,No,No,8
SES-10111,2023-03-16,Referral,Tablet,No,Yes,No,No,431
SES-10112,2023-05-23,Organic Search,Desktop,Yes,No,No,No,8
SES-10113,2023-10-14,Organic Search,Desktop,Yes,No,No,No,2
SES-10114,2023-02-27,Social,Tablet,Yes,No,No,No,3
SES-10115,2023-09-23,Social,Tablet,No,Yes,No,No,503
SES-10116,2023-12-20,Organic Search,Mobile,No,Yes,Yes,Yes,188
SES-10117,2023-10-04,Organic Search,Tablet,No,Yes,Yes,No,439
SES-10118,2023-11-17,Paid Search,Mobile,Yes,No,No,No,9
SES-10119,2023-10-20,Paid Search,Desktop,Yes,No,No,No,4
SES-10120,2023-02-25,Referral,Mobile,No,Yes,Yes,No,247
SES-10121,2023-07-20,Paid Search,Desktop,No,Yes,No,No,81
SES-10122,2023-11-05,Organic Search,Mobile,Yes,No,No,No,8
SES-10123,2023-02-24,Social,Desktop,Yes,No,No,No,7
SES-10124,2023-08-18,Social,Desktop,Yes,No,No,No,9
SES-10125,2023-04-13,Direct,Mobile,Yes,No,No,No,2
SES-10126,2023-12-31,Paid Search,Mobile,No,Yes,Yes,Yes,94
SES-10127,2023-10-09,Direct,Tablet,No,Yes,No,No,359
SES-10128,2023-07-23,Social,Tablet,Yes,No,No,No,0
SES-10129,2023-08-26,Paid Search,Mobile,Yes,No,No,No,7
SES-10130,2023-12-17,Referral,Desktop,No,Yes,No,No,515
SES-10131,2023-12-12,Referral,Tablet,Yes,No,No,No,1
SES-10132,2023-03-09,Referral,Desktop,Yes,No,No,No,2
SES-10133,2023-05-05,Paid Search,Mobile,No,Yes,Yes,No,115
SES-10134,2023-12-29,Organic Search,Mobile,Yes,No,No,No,2
SES-10135,2023-07-30,Organic Search,Desktop,No,Yes,No,No,469
SES-10136,2023-03-02,Organic Search,Desktop,No,Yes,No,No,167
SES-10137,2023-07-06,Paid Search,Tablet,No,Yes,No,No,550
SES-10138,2023-04-23,Social,Tablet,Yes,No,No,No,5
SES-10139,2023-10-10,Organic Search,Tablet,No,Yes,No,No,169
SES-10140,2023-07-01,Referral,Tablet,No,Yes,No,No,516
SES-10141,2023-09-23,Paid Search,Mobile,No,Yes,No,No,395
SES-10142,2023-09-17,Social,Tablet,No,Yes,No,No,333
SES-10143,2023-07-19,Organic Search,Desktop,Yes,No,No,No,9
SES-10144,2023-03-18,Referral,Mobile,No,Yes,No,No,285
SES-10145,2023-09-07,Direct,Tablet,No,Yes,No,No,481
SES-10146,2023-07-23,Paid Search,Desktop,No,Yes,No,No,504
SES-10147,2023-11-22,Organic Search,Tablet,No,Yes,Yes,Yes,492
SES-10148,2023-12-09,Referral,Mobile,No,Yes,No,No,565
SES-10149,2023-10-31,Direct,Desktop,Yes,No,No,No,6
SES-10150,2023-08-07,Paid Search,Tablet,Yes,No,No,No,0
SES-10151,2023-06-03,Referral,Desktop,No,Yes,No,No,385
SES-10152,2023-09-25,Direct,Desktop,Yes,No,No,No,0
SES-10153,2023-09-01,Paid Search,Tablet,Yes,No,No,No,7
SES-10154,2023-10-24,Paid Search,Tablet,Yes,No,No,No,3
SES-10155,2023-04-25,Organic Search,Mobile,Yes,No,No,No,8
SES-10156,2023-06-22,Organic Search,Mobile,No,Yes,No,No,514
SES-10157,2023-12-01,Direct,Desktop,No,Yes,No,No,171
SES-10158,2023-12-09,Direct,Mobile,Yes,No,No,No,2
SES-10159,2023-11-26,Referral,Desktop,No,Yes,No,No,54
SES-10160,2023-11-10,Social,Tablet,Yes,No,No,No,2
SES-10161,2023-02-26,Referral,Tablet,Yes,No,No,No,1
SES-10162,2023-09-26,Referral,Tablet,No,Yes,Yes,Yes,206
SES-10163,2023-08-13,Social,Mobile,No,Yes,No,No,589
SES-10164,2023-02-17,Referral,Tablet,No,Yes,No,No,450
SES-10165,2023-12-06,Direct,Mobile,No,Yes,No,No,78
SES-10166,2023-10-07,Paid Search,Tablet,Yes,No,No,No,3
SES-10167,2023-06-23,Paid Search,Tablet,No,Yes,No,No,587
SES-10168,2023-08-10,Referral,Tablet,No,Yes,No,No,379
SES-10169,2023-12-13,Organic Search,Desktop,No,Yes,No,No,387
SES-10170,2023-05-01,Direct,Desktop,No,Yes,No,No,554
SES-10171,2023-04-26,Direct,Desktop,Yes,No,No,No,9
SES-10172,2023-07-26,Referral,Mobile,Yes,No,No,No,3
SES-10173,2023-02-24,Organic Search,Mobile,Yes,No,No,No,2
SES-10174,2023-08-16,Referral,Tablet,Yes,No,No,No,3
SES-10175,2023-10-17,Direct,Tablet,No,Yes,No,No,339
SES-10176,2023-01-18,Direct,Desktop,No,Yes,Yes,Yes,252
SES-10177,2023-07-12,Referral,Tablet,Yes,No,No,No,1
SES-10178,2023-09-25,Social,Tablet,Yes,No,No,No,9
SES-10179,2023-12-05,Referral,Desktop,No,Yes,No,No,132
SES-10180,2023-02-05,Social,Tablet,No,Yes,Yes,Yes,227
SES-10181,2023-05-04,Paid Search,Desktop,No,Yes,No,No,100
SES-10182,2023-04-17,Paid Search,Desktop,No,Yes,No,No,36
SES-10183,2023-03-07,Organic Search,Tablet,No,Yes,No,No,553
SES-10184,2023-07-20,Social,Mobile,Yes,No,No,No,2
SES-10185,2023-06-17,Social,Desktop,Yes,No,No,No,9
SES-10186,2023-12-10,Referral,Desktop,No,Yes,No,No,205
SES-10187,2023-10-24,Paid Search,Tablet,No,Yes,No,No,548
SES-10188,2023-02-17,Organic Search,Tablet,Yes,No,No,No,6
SES-10189,2023-03-30,Social,Tablet,Yes,No,No,No,7
SES-10190,2023-02-09,Referral,Mobile,Yes,No,No,No,6
SES-10191,2023-03-09,Organic Search,Mobile,No,Yes,No,No,578
SES-10192,2023-09-15,Social,Desktop,No,Yes,No,No,505
